timestamp,label,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
1.081107,Stairs Up,0.030594,-0.546539,-0.620422,0.003723,-0.009316,0.069783
1.101097,Stairs Up,0.024963,-0.556671,-0.65509,-0.017246,0.099859,0.025971
1.124075,Stairs Up,0.032288,-0.577698,-0.646866,0.021794,0.208849,0.004
1.141127,Stairs Up,0.083755,-0.578812,-0.609436,0.09687,0.143539,0.026092
1.161129,Stairs Up,0.123962,-0.600067,-0.583359,0.059801,-0.004846,0.054713
1.181119,Stairs Up,0.097122,-0.617432,-0.624725,-0.139448,-0.041217,-0.009107
1.201114,Stairs Up,0.129486,-0.602036,-0.739883,-0.202583,0.002288,0.009613
1.22395,Stairs Up,0.154327,-0.613129,-0.812881,-0.078991,0.062185,0.095324
1.241122,Stairs Up,0.16217,-0.663605,-0.814209,0.047041,0.038754,0.206466
1.261126,Stairs Up,0.127792,-0.703354,-0.816315,0.00614,-0.050431,0.212763
1.281118,Stairs Up,0.110428,-0.686356,-0.894196,-0.026313,-0.097065,0.249927
1.300528,Stairs Up,0.031494,-0.724243,-0.964981,0.03432,-0.172664,0.255507
1.324515,Stairs Up,-0.046005,-0.77739,-1.000427,0.153645,-0.206128,0.158876
1.341111,Stairs Up,-0.083603,-0.813675,-0.958878,0.12473,-0.044649,-0.007949
1.36112,Stairs Up,-0.056763,-0.811188,-0.869537,-0.289019,0.172787,-0.178153
1.381125,Stairs Up,-0.00737,-0.720322,-0.83905,-0.862895,0.060683,-0.213592
1.400443,Stairs Up,-0.057739,-0.623337,-1.013733,-1.004133,-0.158776,-0.135235
1.423229,Stairs Up,-0.130127,-0.495056,-1.210495,-0.662178,-0.325963,-0.078221
1.441206,Stairs Up,-0.164581,-0.422302,-1.265915,0.014604,-0.19196,0.117537
1.461119,Stairs Up,-0.185455,-0.496765,-0.973907,0.319551,-0.244755,0.203171
1.481113,Stairs Up,-0.22435,-0.544464,-0.787018,0.182931,-0.306025,0.152612
1.50111,Stairs Up,-0.203506,-0.560318,-0.771423,0.000348,-0.15784,0.070092
1.525316,Stairs Up,-0.156616,-0.571396,-0.738449,-0.02392,-0.081145,-0.048013
1.541092,Stairs Up,-0.108566,-0.555054,-0.690811,-0.016675,-0.132413,-0.162653
1.561113,Stairs Up,-0.036392,-0.515076,-0.680466,0.022853,-0.206861,-0.155136
1.580949,Stairs Up,-0.02124,-0.528336,-0.672791,0.090894,-0.279145,-0.114989
1.601123,Stairs Up,-0.035675,-0.534958,-0.646469,0.126004,-0.288783,-0.123887
1.624347,Stairs Up,-0.033234,-0.513809,-0.609268,0.103584,-0.310539,-0.144714
1.640381,Stairs Up,-0.038773,-0.491241,-0.621216,0.066683,-0.305539,-0.177713
1.661121,Stairs Up,-0.041656,-0.48613,-0.661057,0.061143,-0.200569,-0.198103
1.681107,Stairs Up,-0.026779,-0.490158,-0.671387,0.076368,-0.096937,-0.191462
1.700461,Stairs Up,-0.016068,-0.498886,-0.642914,0.147271,-0.173575,-0.164314
1.723311,Stairs Up,-0.055817,-0.530777,-0.630295,0.153979,-0.303171,-0.132194
1.741105,Stairs Up,-0.102325,-0.587997,-0.702118,0.078403,-0.15677,-0.185251
1.761119,Stairs Up,-0.072556,-0.661697,-0.743729,0.058138,0.062726,-0.268497
1.781112,Stairs Up,0.008896,-0.694366,-0.725357,0.088382,0.055897,-0.279093
1.801124,Stairs Up,0.0215,-0.7117,-0.726593,0.067271,-0.076566,-0.259767
1.824333,Stairs Up,0.008133,-0.743134,-0.828323,0.029336,-0.057754,-0.259483
1.841094,Stairs Up,0.031128,-0.729263,-0.92569,0.031832,0.059526,-0.214036
1.861119,Stairs Up,0.039581,-0.709778,-0.992401,0.077517,0.240571,-0.121424
1.880491,Stairs Up,0.034027,-0.722809,-0.994202,0.080136,0.343878,-0.070336
1.900925,Stairs Up,0.058548,-0.721985,-1.030441,0.11485,0.381924,-0.015541
1.923221,Stairs Up,0.062012,-0.751678,-0.959457,0.157656,0.328598,0.016095
1.941094,Stairs Up,0.047104,-0.762558,-0.841431,-0.170177,0.21981,-0.00131
1.961114,Stairs Up,0.066086,-0.626541,-0.971664,-0.514918,0.231351,0.076518
1.98112,Stairs Up,0.118149,-0.51532,-1.140015,-0.28907,0.434825,0.314803
2.001117,Stairs Up,0.116165,-0.518417,-1.083618,0.294648,0.430654,0.492151
2.023358,Stairs Up,0.06929,-0.619736,-0.841522,0.538286,0.21252,0.449465
2.042675,Stairs Up,0.016861,-0.662125,-0.704956,0.253269,0.171794,0.229824
2.061109,Stairs Up,0.020676,-0.590424,-0.729172,-0.061912,0.249942,0.048793
2.081113,Stairs Up,0.060989,-0.527649,-0.80069,-0.068612,0.338726,0.044015
2.101113,Stairs Up,0.05098,-0.523117,-0.770493,0.066663,0.365988,0.022444
2.12421,Stairs Up,0.059128,-0.536209,-0.667618,0.085093,0.372489,-0.019211
2.141075,Stairs Up,0.080994,-0.526672,-0.593201,-0.034442,0.337526,-0.053907
2.161122,Stairs Up,0.130936,-0.515442,-0.588959,-0.143307,0.223567,-0.006642
2.180483,Stairs Up,0.130264,-0.519226,-0.628464,-0.176651,0.14258,0.057853
